Target: 
Point: (0.5008776625329385, 0.49987130979208894, 0.5015272203056393)
Point: (0.49911740752593614, 0.5016023255256268, 0.4968893807000657)
Point: (0.49727829198047946, 0.501776502048009, 0.4983756008194773)
Point: (0.496596752120364, 0.49758122864140575, 0.4969181814280554)

Execution 1
Generation 1 | Average Generation Fitness: 0.7348973074453671 | Best Fitness: 0.7951287982088748 | Population Length: 20
Generation 2 | Average Generation Fitness: 0.7698080075980973 | Best Fitness: 0.8017648888951022 | Population Length: 20
Generation 3 | Average Generation Fitness: 0.7693456348472655 | Best Fitness: 0.8158505263009791 | Population Length: 20
Generation 4 | Average Generation Fitness: 0.7850776883689868 | Best Fitness: 0.8164538090285253 | Population Length: 20
Generation 5 | Average Generation Fitness: 0.7713905755523198 | Best Fitness: 0.8169314825910539 | Population Length: 20
Generation 6 | Average Generation Fitness: 0.7733579676392889 | Best Fitness: 0.8174281450466199 | Population Length: 20
Generation 7 | Average Generation Fitness: 0.7816690744280589 | Best Fitness: 0.8178234776703557 | Population Length: 20
Generation 8 | Average Generation Fitness: 0.7899012111383462 | Best Fitness: 0.8214734669086371 | Population Length: 20
Generation 9 | Average Generation Fitness: 0.7700725616421064 | Best Fitness: 0.8183429441331113 | Population Length: 20
Generation 10 | Average Generation Fitness: 0.772634031500387 | Best Fitness: 0.8225868022409799 | Population Length: 20
Generation 11 | Average Generation Fitness: 0.7982446796194105 | Best Fitness: 0.8262677228482206 | Population Length: 20
Generation 12 | Average Generation Fitness: 0.785275046053733 | Best Fitness: 0.8282183511849338 | Population Length: 20
Generation 13 | Average Generation Fitness: 0.7915513868620341 | Best Fitness: 0.8282183511849338 | Population Length: 20
Generation 14 | Average Generation Fitness: 0.8060527067128478 | Best Fitness: 0.8303358856520818 | Population Length: 20
Generation 15 | Average Generation Fitness: 0.790178890570783 | Best Fitness: 0.8303358856520818 | Population Length: 20
Generation 16 | Average Generation Fitness: 0.7877375040648331 | Best Fitness: 0.8306407635238454 | Population Length: 20
