Target: 
Point: (0.5027738810697134, 0.49801825794281307, 0.5000627028567192)
Point: (0.5060050333689772, 0.5022348072132192, 0.5007185760098345)
Point: (0.49983577901751347, 0.49853064905668815, 0.49762718829323127)
Point: (0.49994017534200763, 0.5026266783731872, 0.5042435406428502)

Execution 1
Generation 1 | Average Generation Fitness: 0.7435246370477427 | Best Fitness: 0.7979075455461467 | Population Length: 20
Generation 2 | Average Generation Fitness: 0.7385236094186012 | Best Fitness: 0.8091280329043748 | Population Length: 20
Generation 3 | Average Generation Fitness: 0.7376671315348087 | Best Fitness: 0.7833802663940493 | Population Length: 20
Generation 4 | Average Generation Fitness: 0.7437676694475468 | Best Fitness: 0.7854277009530981 | Population Length: 20
Generation 5 | Average Generation Fitness: 0.7557281821060834 | Best Fitness: 0.7987664915229613 | Population Length: 20
Generation 6 | Average Generation Fitness: 0.7458213563043412 | Best Fitness: 0.7815471726504029 | Population Length: 20
Generation 7 | Average Generation Fitness: 0.7502318002575644 | Best Fitness: 0.7873804894062777 | Population Length: 20
Generation 8 | Average Generation Fitness: 0.7430507099216629 | Best Fitness: 0.7983692613180682 | Population Length: 20
Generation 9 | Average Generation Fitness: 0.7564627824678674 | Best Fitness: 0.7986034303649839 | Population Length: 20
Generation 10 | Average Generation Fitness: 0.7543438550140771 | Best Fitness: 0.8052616101757689 | Population Length: 20
Generation 11 | Average Generation Fitness: 0.7555739603945038 | Best Fitness: 0.81184325081427 | Population Length: 20
Generation 12 | Average Generation Fitness: 0.7448573878675899 | Best Fitness: 0.8046692414918254 | Population Length: 20
Generation 13 | Average Generation Fitness: 0.7544293300627251 | Best Fitness: 0.8082867625479966 | Population Length: 20
Generation 14 | Average Generation Fitness: 0.7545339569657414 | Best Fitness: 0.8082867625479966 | Population Length: 20
Generation 15 | Average Generation Fitness: 0.7373224070659389 | Best Fitness: 0.8082867625479966 | Population Length: 20
Generation 16 | Average Generation Fitness: 0.7584962704179432 | Best Fitness: 0.8082867625479966 | Population Length: 20
Generation 17 | Average Generation Fitness: 0.7607724977178167 | Best Fitness: 0.8082867625479966 | Population Length: 20
Generation 18 | Average Generation Fitness: 0.746195600212277 | Best Fitness: 0.8102592394999246 | Population Length: 20
Generation 19 | Average Generation Fitness: 0.7555398425534038 | Best Fitness: 0.8102592394999246 | Population Length: 20
Generation 20 | Average Generation Fitness: 0.7512117232903603 | Best Fitness: 0.8102592394999246 | Population Length: 20
Generation 21 | Average Generation Fitness: 0.7432136911697096 | Best Fitness: 0.812602854366746 | Population Length: 20
Generation 22 | Average Generation Fitness: 0.7549459883337503 | Best Fitness: 0.7974972143258907 | Population Length: 20
Generation 23 | Average Generation Fitness: 0.7628021510243052 | Best Fitness: 0.7985082512236115 | Population Length: 20
Generation 24 | Average Generation Fitness: 0.7660935164426362 | Best Fitness: 0.8176868465833133 | Population Length: 20
Generation 25 | Average Generation Fitness: 0.7374752957643318 | Best Fitness: 0.8029705588262291 | Population Length: 20
Generation 26 | Average Generation Fitness: 0.7503245639754399 | Best Fitness: 0.7919894185482518 | Population Length: 20
Generation 27 | Average Generation Fitness: 0.7432084884532519 | Best Fitness: 0.8063408238248277 | Population Length: 20
Generation 28 | Average Generation Fitness: 0.7501913752113477 | Best Fitness: 0.8016166158767201 | Population Length: 20
Generation 29 | Average Generation Fitness: 0.7379766257859951 | Best Fitness: 0.7989774685206118 | Population Length: 20
Generation 30 | Average Generation Fitness: 0.7529695366289408 | Best Fitness: 0.8176390190699352 | Population Length: 20
Generation 31 | Average Generation Fitness: 0.7642734765162675 | Best Fitness: 0.8176390190699352 | Population Length: 20
Generation 32 | Average Generation Fitness: 0.7612731014080163 | Best Fitness: 0.818473273578403 | Population Length: 20
Generation 33 | Average Generation Fitness: 0.7551615879425574 | Best Fitness: 0.8080173703561054 | Population Length: 20
Generation 34 | Average Generation Fitness: 0.739851597837992 | Best Fitness: 0.7920368870386251 | Population Length: 20
Generation 35 | Average Generation Fitness: 0.7412780240496744 | Best Fitness: 0.7983266159308721 | Population Length: 20
Generation 36 | Average Generation Fitness: 0.753881762325644 | Best Fitness: 0.7963708684066166 | Population Length: 20
Generation 37 | Average Generation Fitness: 0.7378129994271228 | Best Fitness: 0.7861456207516438 | Population Length: 20
Generation 38 | Average Generation Fitness: 0.7500220623262516 | Best Fitness: 0.8050499080610679 | Population Length: 20
Generation 39 | Average Generation Fitness: 0.7575115506075003 | Best Fitness: 0.8050499080610679 | Population Length: 20
Generation 40 | Average Generation Fitness: 0.7582360987413669 | Best Fitness: 0.8018420621322985 | Population Length: 20
Generation 41 | Average Generation Fitness: 0.7559895257542885 | Best Fitness: 0.8101445006393697 | Population Length: 20
