Target: 
Point: (0.5009518783062896, 0.498318629518864, 0.49980797467496724)
Point: (0.5011913706232086, 0.502781824493814, 0.49685186309536894)
Point: (0.5007962587660538, 0.5009270352293809, 0.497581487786511)
Point: (0.4985444074612786, 0.49959660940288836, 0.49983223500223006)


Execution 1

Generation 1 | Average Generation Fitness: 0.7489840914226042 | Best Fitness: 0.8094630037697641 | Population Length: 200
Generation 2 | Average Generation Fitness: 0.7530594278174805 | Best Fitness: 0.8216333957468268 | Population Length: 200
Generation 3 | Average Generation Fitness: 0.7560911772514978 | Best Fitness: 0.8216333957468268 | Population Length: 200
Generation 4 | Average Generation Fitness: 0.7550016427270028 | Best Fitness: 0.8216333957468268 | Population Length: 200
Generation 5 | Average Generation Fitness: 0.7570148823520175 | Best Fitness: 0.8216333957468268 | Population Length: 200
Generation 6 | Average Generation Fitness: 0.75252473367614 | Best Fitness: 0.8216333957468268 | Population Length: 200
Generation 7 | Average Generation Fitness: 0.7552456533436532 | Best Fitness: 0.8216333957468268 | Population Length: 200
Generation 8 | Average Generation Fitness: 0.7525121192410356 | Best Fitness: 0.8216333957468268 | Population Length: 200
Generation 9 | Average Generation Fitness: 0.7523108348858719 | Best Fitness: 0.8247772979135408 | Population Length: 200
Generation 10 | Average Generation Fitness: 0.7503359021130656 | Best Fitness: 0.8247772979135408 | Population Length: 200
Generation 11 | Average Generation Fitness: 0.7575186429973806 | Best Fitness: 0.8259065574229526 | Population Length: 200
Generation 12 | Average Generation Fitness: 0.7567715864992769 | Best Fitness: 0.8259065574229526 | Population Length: 200
Generation 13 | Average Generation Fitness: 0.7538426801364809 | Best Fitness: 0.8259065574229526 | Population Length: 200
Generation 14 | Average Generation Fitness: 0.7542613166162178 | Best Fitness: 0.8259065574229526 | Population Length: 200
Generation 15 | Average Generation Fitness: 0.7540796636540799 | Best Fitness: 0.8259065574229526 | Population Length: 200
Generation 16 | Average Generation Fitness: 0.7582074563460596 | Best Fitness: 0.8259065574229526 | Population Length: 200
Generation 17 | Average Generation Fitness: 0.7582888804096245 | Best Fitness: 0.8259065574229526 | Population Length: 200
Generation 18 | Average Generation Fitness: 0.7514714387775459 | Best Fitness: 0.8259065574229526 | Population Length: 200
Generation 19 | Average Generation Fitness: 0.7558732646847601 | Best Fitness: 0.8260390765736113 | Population Length: 200
Generation 20 | Average Generation Fitness: 0.7555624089963213 | Best Fitness: 0.8262746518482644 | Population Length: 200
Generation 21 | Average Generation Fitness: 0.7563089757608045 | Best Fitness: 0.8262746518482644 | Population Length: 200
Generation 22 | Average Generation Fitness: 0.7523354643658283 | Best Fitness: 0.8280396889108926 | Population Length: 200
Generation 23 | Average Generation Fitness: 0.7528350868085966 | Best Fitness: 0.8280396889108926 | Population Length: 200
Generation 24 | Average Generation Fitness: 0.7570713203730741 | Best Fitness: 0.8280396889108926 | Population Length: 200
Generation 25 | Average Generation Fitness: 0.7517465506848722 | Best Fitness: 0.8280396889108926 | Population Length: 200
Generation 26 | Average Generation Fitness: 0.7550082332677104 | Best Fitness: 0.8281969284928546 | Population Length: 200
Generation 27 | Average Generation Fitness: 0.755342880348694 | Best Fitness: 0.8281969284928546 | Population Length: 200
Generation 28 | Average Generation Fitness: 0.7562232743855346 | Best Fitness: 0.8281969284928546 | Population Length: 200
Generation 29 | Average Generation Fitness: 0.7515994294703564 | Best Fitness: 0.8281969284928546 | Population Length: 200
Generation 30 | Average Generation Fitness: 0.7505003837129951 | Best Fitness: 0.8281969284928546 | Population Length: 200
