Generation 1 | Average Generation Fitness: 0.7265353493886999 | Best Fitness: 0.7955569137186823 | Population Length: 200
Generation 2 | Average Generation Fitness: 0.7694780345322648 | Best Fitness: 0.8195790842362276 | Population Length: 200
Generation 3 | Average Generation Fitness: 0.7768563743666068 | Best Fitness: 0.8212859553168136 | Population Length: 200
Generation 4 | Average Generation Fitness: 0.7896646511412224 | Best Fitness: 0.8249781081807968 | Population Length: 200
Generation 5 | Average Generation Fitness: 0.7864589212399821 | Best Fitness: 0.8280534728831923 | Population Length: 200
Generation 6 | Average Generation Fitness: 0.7875438756264407 | Best Fitness: 0.8305890571239136 | Population Length: 200
Generation 7 | Average Generation Fitness: 0.7950705302336867 | Best Fitness: 0.8311204050248534 | Population Length: 200
Generation 8 | Average Generation Fitness: 0.7893297595149775 | Best Fitness: 0.8316081167637104 | Population Length: 200
Generation 9 | Average Generation Fitness: 0.788912933808234 | Best Fitness: 0.8321607504479316 | Population Length: 200
Generation 10 | Average Generation Fitness: 0.7954060211873899 | Best Fitness: 0.8324397982884584 | Population Length: 200
Generation 11 | Average Generation Fitness: 0.7874515303318439 | Best Fitness: 0.8326436481409191 | Population Length: 200
Generation 12 | Average Generation Fitness: 0.7963409299737243 | Best Fitness: 0.8328983994021295 | Population Length: 200
Generation 13 | Average Generation Fitness: 0.7935194271547441 | Best Fitness: 0.8329652871225528 | Population Length: 200
Generation 14 | Average Generation Fitness: 0.7969631569950448 | Best Fitness: 0.8331402884283551 | Population Length: 200
Generation 15 | Average Generation Fitness: 0.7963578709176659 | Best Fitness: 0.8331409529688278 | Population Length: 200
Generation 16 | Average Generation Fitness: 0.7927830223070633 | Best Fitness: 0.8331409529688278 | Population Length: 200
Generation 17 | Average Generation Fitness: 0.7918198376451474 | Best Fitness: 0.8331798019339997 | Population Length: 200
Generation 18 | Average Generation Fitness: 0.7912148395856167 | Best Fitness: 0.8331798019339997 | Population Length: 200
Generation 19 | Average Generation Fitness: 0.7943705807339293 | Best Fitness: 0.8332068125280852 | Population Length: 200
Generation 20 | Average Generation Fitness: 0.795052996354916 | Best Fitness: 0.8332212215516477 | Population Length: 200
Generation 21 | Average Generation Fitness: 0.7882812614698779 | Best Fitness: 0.8332350416894353 | Population Length: 200
Generation 22 | Average Generation Fitness: 0.7943132982689473 | Best Fitness: 0.8332422025625992 | Population Length: 200
Generation 23 | Average Generation Fitness: 0.7882706280699425 | Best Fitness: 0.8332422025625992 | Population Length: 200
Generation 24 | Average Generation Fitness: 0.7933585719483796 | Best Fitness: 0.8332702147067879 | Population Length: 200
Generation 25 | Average Generation Fitness: 0.7903051267214871 | Best Fitness: 0.8332850743609899 | Population Length: 200
Generation 26 | Average Generation Fitness: 0.7916901804026302 | Best Fitness: 0.8332850743609899 | Population Length: 200
Generation 27 | Average Generation Fitness: 0.7961707800182228 | Best Fitness: 0.8332850743609899 | Population Length: 200
Generation 28 | Average Generation Fitness: 0.7924082328587623 | Best Fitness: 0.8332856478220235 | Population Length: 200
Generation 29 | Average Generation Fitness: 0.7985346149822432 | Best Fitness: 0.8332856478220235 | Population Length: 200
Generation 30 | Average Generation Fitness: 0.7971652327034632 | Best Fitness: 0.8332955822510297 | Population Length: 200
Generation 31 | Average Generation Fitness: 0.7921829302310752 | Best Fitness: 0.8332955822510297 | Population Length: 200
Generation 32 | Average Generation Fitness: 0.7992014482619658 | Best Fitness: 0.8332970358442 | Population Length: 200
Generation 33 | Average Generation Fitness: 0.7987232719289413 | Best Fitness: 0.8332970358442 | Population Length: 200
Generation 34 | Average Generation Fitness: 0.7950955170711187 | Best Fitness: 0.8332970358442 | Population Length: 200
Generation 35 | Average Generation Fitness: 0.7914066495957315 | Best Fitness: 0.8333068681183626 | Population Length: 200
Generation 36 | Average Generation Fitness: 0.7943024768974598 | Best Fitness: 0.8333068681183626 | Population Length: 200
Generation 37 | Average Generation Fitness: 0.7991019378274666 | Best Fitness: 0.8333068681183626 | Population Length: 200
Generation 38 | Average Generation Fitness: 0.7828622522346491 | Best Fitness: 0.8333068681183626 | Population Length: 200
Generation 39 | Average Generation Fitness: 0.7976802376974179 | Best Fitness: 0.8333115972607936 | Population Length: 200
Generation 40 | Average Generation Fitness: 0.7953112862835822 | Best Fitness: 0.8333115972607936 | Population Length: 200
Generation 41 | Average Generation Fitness: 0.7944242593721843 | Best Fitness: 0.8333115972607936 | Population Length: 200
Generation 42 | Average Generation Fitness: 0.7959384214385306 | Best Fitness: 0.8333144581759325 | Population Length: 200
Generation 43 | Average Generation Fitness: 0.797585012204873 | Best Fitness: 0.8333176852749729 | Population Length: 200
Generation 44 | Average Generation Fitness: 0.7938740970926179 | Best Fitness: 0.8333203132558631 | Population Length: 200
Generation 45 | Average Generation Fitness: 0.7903335444554739 | Best Fitness: 0.8333213580108463 | Population Length: 200
Generation 46 | Average Generation Fitness: 0.8005557983402494 | Best Fitness: 0.8333215763852947 | Population Length: 200
Generation 47 | Average Generation Fitness: 0.7960077781114177 | Best Fitness: 0.8333215763852947 | Population Length: 200
Generation 48 | Average Generation Fitness: 0.7967316042902135 | Best Fitness: 0.8333215763852947 | Population Length: 200
Generation 49 | Average Generation Fitness: 0.7961490233284984 | Best Fitness: 0.8333217974278364 | Population Length: 200
Generation 50 | Average Generation Fitness: 0.7886750997552048 | Best Fitness: 0.8333217974278364 | Population Length: 200
Generation 51 | Average Generation Fitness: 0.788547923888984 | Best Fitness: 0.8333217974278364 | Population Length: 200
Generation 52 | Average Generation Fitness: 0.7988945912866394 | Best Fitness: 0.8333217974278364 | Population Length: 200
Generation 1 | Average Generation Fitness: 0.7574529239432798 | Best Fitness: 0.8225019437652181 | Population Length: 200
Generation 2 | Average Generation Fitness: 0.7853128006135001 | Best Fitness: 0.8258182112438818 | Population Length: 200
Generation 3 | Average Generation Fitness: 0.7907527951018944 | Best Fitness: 0.8287638022275682 | Population Length: 200
Generation 4 | Average Generation Fitness: 0.7914053486171696 | Best Fitness: 0.8294684273778179 | Population Length: 200
Generation 5 | Average Generation Fitness: 0.7903235767509144 | Best Fitness: 0.8310598581043436 | Population Length: 200
Generation 6 | Average Generation Fitness: 0.7921608390948451 | Best Fitness: 0.8315857291519222 | Population Length: 200
Generation 7 | Average Generation Fitness: 0.7934545242726623 | Best Fitness: 0.8320664930584882 | Population Length: 200
Generation 8 | Average Generation Fitness: 0.7927333517492343 | Best Fitness: 0.8323394182868374 | Population Length: 200
Generation 9 | Average Generation Fitness: 0.7903077275103485 | Best Fitness: 0.83275790004409 | Population Length: 200
Generation 10 | Average Generation Fitness: 0.7941376555860039 | Best Fitness: 0.8328222379651788 | Population Length: 200
Generation 11 | Average Generation Fitness: 0.7924334476180719 | Best Fitness: 0.8328465329025557 | Population Length: 200
Generation 12 | Average Generation Fitness: 0.7916436880568773 | Best Fitness: 0.8328902336031728 | Population Length: 200
Generation 13 | Average Generation Fitness: 0.7950257517439918 | Best Fitness: 0.8329404181030641 | Population Length: 200
Generation 14 | Average Generation Fitness: 0.7851148248997163 | Best Fitness: 0.8329940199655269 | Population Length: 200
Generation 15 | Average Generation Fitness: 0.7940385982980281 | Best Fitness: 0.8330704199848126 | Population Length: 200
Generation 16 | Average Generation Fitness: 0.788160161231669 | Best Fitness: 0.8331167496224966 | Population Length: 200
Generation 17 | Average Generation Fitness: 0.7964154144325297 | Best Fitness: 0.8331608688387553 | Population Length: 200
Generation 18 | Average Generation Fitness: 0.7919813657243389 | Best Fitness: 0.8331738878115167 | Population Length: 200
